
28079102;J.M.D. Moratalaz
28079103;J.M.D. Villaverde
28079104;E.D.A.R. La China
28079106;Centro Mpal. De Acústica
28079107;J.M.D. Hortaleza
28079108;Peñagrande
28079109;J.M.D.Chamberí
28079110;J.M.D.Centro
28079111;J.M.D.Chamartin
28079112;J.M.D.Vallecas 1
28079113;J.M.D.Vallecas 2
28079114;Matadero 01
28079115;Matadero 02
28079004;Plaza España
28079008;Escuelas Aguirre
28079016;Arturo Soria
28079018;Farolillo
28079024;Casa de Campo
28079035;Plaza del Carmen
28079036;Moratalaz
28079038;Cuatro Caminos
28079039;Barrio del Pilar
28079054;Ensanche de Vallecas
28079056;Plaza Elíptica
28079058;El Pardo
28079059;Juan Carlos I
